x	 u	 u_exact
0.267840	-0.999203	0.994071
0.268817	-0.998417	0.993384
0.269795	-0.997618	0.992660
0.270772	-0.996896	0.991899
0.271750	-0.996211	0.991100
0.272727	-0.995271	0.990264
0.273705	-0.994302	0.989390
0.274682	-0.993525	0.988479
0.275660	-0.992590	0.987531
0.276637	-0.991520	0.986545
0.277615	-0.990432	0.985522
0.278592	-0.989508	0.984463
0.279570	-0.988415	0.983366
0.280547	-0.987129	0.982231
0.281525	-0.986015	0.981060
0.282502	-0.984880	0.979852
0.283480	-0.983613	0.978607
0.284457	-0.982201	0.977325
0.285435	-0.980960	0.976006
0.286413	-0.979700	0.974650
0.287390	-0.978170	0.973257
0.288368	-0.976723	0.971828
0.289345	-0.975329	0.970362
0.290323	-0.973872	0.968860
0.291300	-0.972202	0.967321
0.292278	-0.970619	0.965745
0.293255	-0.969151	0.964133
0.294233	-0.967411	0.962485
0.295210	-0.965662	0.960800
0.296188	-0.963986	0.959079
0.297165	-0.962310	0.957322
0.298143	-0.960425	0.955529
0.299120	-0.958517	0.953700
0.300098	-0.956805	0.951834
0.301075	-0.954862	0.949933
0.302053	-0.952835	0.947996
0.303030	-0.950887	0.946024
0.304008	-0.948961	0.944015
0.304985	-0.946875	0.941971
0.305963	-0.944674	0.939892
0.306940	-0.942694	0.937777
0.307918	-0.940551	0.935626
0.308895	-0.938253	0.933441
0.309873	-0.936055	0.931220
0.310850	-0.933866	0.928964
0.311828	-0.931566	0.926673
0.312805	-0.929110	0.924347
0.313783	-0.926851	0.921986
0.314761	-0.924507	0.919590
0.315738	-0.921941	0.917160
0.316716	-0.919506	0.914695
0.317693	-0.917066	0.912195
0.318671	-0.914524	0.909661
0.319648	-0.911848	0.907093
0.320626	-0.909308	0.904491
0.321603	-0.906758	0.901854
0.322581	-0.903935	0.899184
0.323558	-0.901261	0.896479
0.324536	-0.898600	0.893741
0.325513	-0.895783	0.890969
0.326491	-0.892913	0.888163
0.327468	-0.890110	0.885324
0.328446	-0.887326	0.882452
0.329423	-0.884278	0.879546
0.330401	-0.881353	0.876607
0.331378	-0.878492	0.873635
0.332356	-0.875390	0.870630
0.333333	-0.872325	0.867592
0.334311	-0.869301	0.864521
0.335288	-0.866239	0.861418
0.336266	-0.863004	0.858282
0.337243	-0.859830	0.855114
0.338221	-0.856760	0.851914
0.339198	-0.853402	0.848682
0.340176	-0.850118	0.845417
0.341153	-0.846918	0.842121
0.342131	-0.843547	0.838793
0.343109	-0.840137	0.835433
0.344086	-0.836757	0.832042
0.345064	-0.833421	0.828619
0.346041	-0.829863	0.825165
0.347019	-0.826348	0.821680
0.347996	-0.822970	0.818164
0.348974	-0.819316	0.814617
0.349951	-0.815707	0.811039
0.350929	-0.812179	0.807431
0.351906	-0.808522	0.803792
0.352884	-0.804800	0.800123
0.353861	-0.801096	0.796424
0.354839	-0.797465	0.792695
0.355816	-0.793605	0.788936
0.356794	-0.789781	0.785147
0.357771	-0.786099	0.781328
0.358749	-0.782147	0.777480
0.359726	-0.778240	0.773603
0.360704	-0.774414	0.769696
0.361681	-0.770452	0.765761
0.362659	-0.766442	0.761796
0.363636	-0.762451	0.757803
0.364614	-0.758512	0.753781
0.365591	-0.754367	0.749731
0.366569	-0.750262	0.745653
0.367546	-0.746288	0.741546
0.368524	-0.742036	0.737411
0.369501	-0.737858	0.733249
0.370479	-0.733762	0.729059
0.371457	-0.729481	0.724841
0.372434	-0.725212	0.720597
0.373412	-0.720965	0.716324
0.374389	-0.716705	0.712025
0.375367	-0.712301	0.707699
0.376344	-0.707944	0.703347
0.377322	-0.703676	0.698967
0.378299	-0.699141	0.694562
0.379277	-0.694719	0.690130
0.380254	-0.690367	0.685672
0.381232	-0.685766	0.681189
0.382209	-0.681272	0.676679
0.383187	-0.676792	0.672144
0.384164	-0.672192	0.667584
0.385142	-0.667579	0.662999
0.386119	-0.662991	0.658388
0.387097	-0.658402	0.653753
0.388074	-0.653642	0.649093
0.389052	-0.648992	0.644409
0.390029	-0.644366	0.639700
0.391007	-0.639489	0.634967
0.391984	-0.634797	0.630210
0.392962	-0.630077	0.625430
0.393939	-0.625150	0.620625
0.394917	-0.620381	0.615798
0.395894	-0.615557	0.610947
0.396872	-0.610629	0.606073
0.397849	-0.605733	0.601176
0.398827	-0.600842	0.596257
0.399804	-0.595907	0.591315
0.400782	-0.590865	0.586351
0.401760	-0.585948	0.581364
0.402737	-0.580960	0.576356
0.403715	-0.575806	0.571326
0.404692	-0.570870	0.566275
0.405670	-0.565790	0.561202
0.406647	-0.560583	0.556108
0.407625	-0.555588	0.550993
0.408602	-0.550418	0.545857
0.409580	-0.545196	0.540700
0.410557	-0.540094	0.535523
0.411535	-0.534874	0.530326
0.412512	-0.529630	0.525109
0.413490	-0.524400	0.519872
0.414467	-0.519174	0.514616
0.415445	-0.513869	0.509340
0.416422	-0.508533	0.504045
0.417400	-0.503312	0.498731
0.418377	-0.497911	0.493398
0.419355	-0.492517	0.488046
0.420332	-0.487273	0.482676
0.421310	-0.481774	0.477288
0.422287	-0.476360	0.471882
0.423265	-0.471050	0.466458
0.424242	-0.465483	0.461017
0.425220	-0.460053	0.455558
0.426197	-0.454646	0.450082
0.427175	-0.449055	0.444588
0.428152	-0.443583	0.439079
0.429130	-0.438082	0.433552
0.430108	-0.432495	0.428009
0.431085	-0.426945	0.422450
0.432063	-0.421381	0.416875
0.433040	-0.415796	0.411285
0.434018	-0.410146	0.405679
0.434995	-0.404560	0.400057
0.435973	-0.398946	0.394421
0.436950	-0.393205	0.388769
0.437928	-0.387620	0.383103
0.438905	-0.381942	0.377423
0.439883	-0.376142	0.371728
0.440860	-0.370556	0.366019
0.441838	-0.364792	0.360297
0.442815	-0.358972	0.354560
0.443793	-0.353360	0.348811
0.444770	-0.347514	0.343048
0.445748	-0.341698	0.337273
0.446725	-0.336030	0.331484
0.447703	-0.330125	0.325683
0.448680	-0.324318	0.319870
0.449658	-0.318571	0.314045
0.450635	-0.312641	0.308208
0.451613	-0.306824	0.302359
0.452590	-0.300998	0.296499
0.453568	-0.295067	0.290628
0.454545	-0.289215	0.284745
0.455523	-0.283328	0.278852
0.456500	-0.277404	0.272949
0.457478	-0.271495	0.267035
0.458456	-0.265574	0.261111
0.459433	-0.259648	0.255178
0.460411	-0.253674	0.249234
0.461388	-0.247746	0.243281
0.462366	-0.241796	0.237319
0.463343	-0.235767	0.231349
0.464321	-0.229848	0.225369
0.465298	-0.223850	0.219381
0.466276	-0.217789	0.213384
0.467253	-0.211877	0.207380
0.468231	-0.205817	0.201368
0.469208	-0.199750	0.195348
0.470186	-0.193833	0.189321
0.471163	-0.187709	0.183286
0.472141	-0.181658	0.177245
0.473118	-0.175715	0.171197
0.474096	-0.169539	0.165143
0.475073	-0.163517	0.159082
0.476051	-0.157527	0.153015
0.477028	-0.151318	0.146943
0.478006	-0.145326	0.140865
0.478983	-0.139274	0.134781
0.479961	-0.133059	0.128693
0.480938	-0.127086	0.122600
0.481916	-0.120968	0.116502
