x	 u	 u_exact
0.244379	-1.002686	-0.999376
0.245357	-1.002860	-0.999574
0.246334	-1.002836	-0.999735
0.247312	-1.003089	-0.999857
0.248289	-1.003076	-0.999942
0.249267	-1.002990	-0.999989
0.250244	-1.003138	-0.999999
0.251222	-1.002954	-0.999971
0.252199	-1.002815	-0.999905
0.253177	-1.002835	-0.999801
0.254154	-1.002499	-0.999659
0.255132	-1.002306	-0.999480
0.256109	-1.002181	-0.999263
0.257087	-1.001713	-0.999009
0.258065	-1.001457	-0.998717
0.259042	-1.001180	-0.998387
0.260020	-1.000596	-0.998019
0.260997	-1.000267	-0.997614
0.261975	-0.999837	-0.997171
0.262952	-0.999148	-0.996690
0.263930	-0.998733	-0.996172
0.264907	-0.998154	-0.995617
0.265885	-0.997366	-0.995023
0.266862	-0.996857	-0.994393
0.267840	-0.996135	-0.993724
0.268817	-0.995249	-0.993019
0.269795	-0.994638	-0.992276
0.270772	-0.993781	-0.991495
0.271750	-0.992797	-0.990677
0.272727	-0.992080	-0.989821
0.273705	-0.991095	-0.988929
0.274682	-0.990009	-0.987999
0.275660	-0.989182	-0.987031
0.276637	-0.988076	-0.986027
0.277615	-0.986884	-0.984985
0.278592	-0.985947	-0.983906
0.279570	-0.984728	-0.982790
0.280547	-0.983424	-0.981637
0.281525	-0.982376	-0.980447
0.282502	-0.981050	-0.979220
0.283480	-0.979629	-0.977956
0.284457	-0.978469	-0.976655
0.285435	-0.977045	-0.975317
0.286413	-0.975502	-0.973942
0.287390	-0.974228	-0.972531
0.288368	-0.972712	-0.971083
0.289345	-0.971045	-0.969598
0.290323	-0.969652	-0.968077
0.291300	-0.968054	-0.966519
0.292278	-0.966261	-0.964925
0.293255	-0.964743	-0.963295
0.294233	-0.963071	-0.961628
0.295210	-0.961155	-0.959924
0.296188	-0.959502	-0.958185
0.297165	-0.957762	-0.956409
0.298143	-0.955730	-0.954598
0.299120	-0.953930	-0.952750
0.300098	-0.952126	-0.950867
0.301075	-0.949991	-0.948947
0.302053	-0.948032	-0.946992
0.303030	-0.946159	-0.945001
0.304008	-0.943941	-0.942974
0.304985	-0.941812	-0.940912
0.305963	-0.939860	-0.938814
0.306940	-0.937582	-0.936681
0.307918	-0.935281	-0.934513
0.308895	-0.933226	-0.932309
0.309873	-0.930912	-0.930070
0.310850	-0.928448	-0.927796
0.311828	-0.926258	-0.925487
0.312805	-0.923923	-0.923143
0.313783	-0.921324	-0.920765
0.314761	-0.918963	-0.918351
0.315738	-0.916606	-0.915903
0.316716	-0.913915	-0.913421
0.317693	-0.911355	-0.910903
0.318671	-0.908950	-0.908352
0.319648	-0.906219	-0.905766
0.320626	-0.903456	-0.903146
0.321603	-0.900949	-0.900492
0.322581	-0.898222	-0.897805
0.323558	-0.895288	-0.895083
0.324536	-0.892614	-0.892327
0.325513	-0.889901	-0.889538
0.326491	-0.886864	-0.886715
0.327468	-0.883970	-0.883859
0.328446	-0.881231	-0.880969
0.329423	-0.878176	-0.878047
0.330401	-0.875057	-0.875091
0.331378	-0.872206	-0.872102
0.332356	-0.869190	-0.869080
0.333333	-0.865911	-0.866025
0.334311	-0.862852	-0.862938
0.335288	-0.859860	-0.859818
0.336266	-0.856535	-0.856666
0.337243	-0.853225	-0.853481
0.338221	-0.850162	-0.850265
0.339198	-0.846888	-0.847016
0.340176	-0.843386	-0.843735
0.341153	-0.840119	-0.840422
0.342131	-0.836899	-0.837078
0.343109	-0.833347	-0.833702
0.344086	-0.829812	-0.830295
0.345064	-0.826527	-0.826856
0.346041	-0.823049	-0.823386
0.347019	-0.819323	-0.819885
0.347996	-0.815810	-0.816353
0.348974	-0.812393	-0.812791
0.349951	-0.808658	-0.809197
0.350929	-0.804864	-0.805574
0.351906	-0.801338	-0.801919
0.352884	-0.797712	-0.798235
