x, y, u
7.070707, -20.000000, 0.102525
7.474747, -20.000000, 0.042173
7.878788, -20.000000, 0.016614
8.282828, -20.000000, 0.006251
8.686869, -20.000000, 0.002243
9.090909, -20.000000, 0.000768
9.494949, -20.000000, 0.000251
9.898990, -20.000000, 0.000078
10.303030, -20.000000, 0.000023
10.707071, -20.000000, 0.000007
11.111111, -20.000000, 0.000002
11.515152, -20.000000, 0.000000
11.919192, -20.000000, 0.000000
12.323232, -20.000000, 0.000000
12.727273, -20.000000, 0.000000
13.131313, -20.000000, 0.000000
13.535354, -20.000000, 0.000000
13.939394, -20.000000, -0.000000
14.343434, -20.000000, 0.000000
14.747475, -20.000000, -0.000000
15.151515, -20.000000, 0.000000
15.555556, -20.000000, -0.000000
15.959596, -20.000000, 0.000000
16.363636, -20.000000, 0.000000
16.767677, -20.000000, -0.000000
17.171717, -20.000000, -0.000000
17.575758, -20.000000, 0.000005
17.979798, -20.000000, -0.000025
18.383838, -20.000000, 0.000108
18.787879, -20.000000, -0.000367
19.191919, -20.000000, 0.000955
19.595960, -20.000000, -0.001570
20.000000, -20.000000, 0.001000
-20.000000, -19.595960, 0.000000
-19.595960, -19.595960, 0.000000
-19.191919, -19.595960, 0.000000
-18.787879, -19.595960, 0.000000
-18.383838, -19.595960, 0.000000
-17.979798, -19.595960, 0.000000
-17.575758, -19.595960, 0.000000
-17.171717, -19.595960, 0.000001
-16.767677, -19.595960, 0.000004
-16.363636, -19.595960, 0.000012
-15.959596, -19.595960, 0.000037
-15.555556, -19.595960, 0.000113
-15.151515, -19.595960, 0.000336
-14.747475, -19.595960, 0.000969
-14.343434, -19.595960, 0.002694
-13.939394, -19.595960, 0.007214
-13.535354, -19.595960, 0.018548
-13.131313, -19.595960, 0.045520
-12.727273, -19.595960, 0.105555
-12.323232, -19.595960, 0.226748
-11.919192, -19.595960, 0.434809
-11.515152, -19.595960, 0.698810
-11.111111, -19.595960, 0.878326
-10.707071, -19.595960, 0.959142
-10.303030, -19.595960, 0.989334
-9.898990, -19.595960, 0.998176
-9.494949, -19.595960, 0.998552
-9.090909, -19.595960, 0.999579
-8.686869, -19.595960, 1.000633
