x	 u	 u_exact
0.451613	-0.296158	-0.299363
0.452590	-0.290480	-0.293497
0.453568	-0.284804	-0.287620
0.454545	-0.278943	-0.281733
0.455523	-0.272866	-0.275834
0.456500	-0.266724	-0.269925
0.457478	-0.260712	-0.264006
0.458456	-0.254906	-0.258077
0.459433	-0.249202	-0.252139
0.460411	-0.243408	-0.246190
0.461388	-0.237398	-0.240233
0.462366	-0.231208	-0.234266
0.463343	-0.225000	-0.228291
0.464321	-0.218945	-0.222307
0.465298	-0.213090	-0.216315
0.466276	-0.207340	-0.210314
0.467253	-0.201521	-0.204306
0.468231	-0.195505	-0.198289
0.469208	-0.189287	-0.192266
0.470186	-0.182986	-0.186235
0.471163	-0.176764	-0.180197
0.472141	-0.170728	-0.174152
0.473118	-0.164874	-0.168101
0.474096	-0.159091	-0.162043
0.475073	-0.153234	-0.155979
0.476051	-0.147192	-0.149910
0.477028	-0.140949	-0.143835
0.478006	-0.134583	-0.137754
0.478983	-0.128223	-0.131668
0.479961	-0.121988	-0.125577
0.480938	-0.115939	-0.119481
0.481916	-0.110059	-0.113381
0.482893	-0.104264	-0.107277
0.483871	-0.098443	-0.101168
0.484848	-0.092496	-0.095056
0.485826	-0.086367	-0.088940
0.486804	-0.080060	-0.082821
0.487781	-0.073625	-0.076699
0.488759	-0.067141	-0.070573
0.489736	-0.060695	-0.064445
0.490714	-0.054355	-0.058315
0.491691	-0.048162	-0.052183
0.492669	-0.042123	-0.046048
0.493646	-0.036218	-0.039912
0.494624	-0.030406	-0.033774
0.495601	-0.024638	-0.027635
0.496579	-0.018863	-0.021495
0.497556	-0.013037	-0.015354
0.498534	-0.007125	-0.009213
0.499511	-0.001104	-0.003071
0.500489	0.005038	0.003071
0.501466	0.011300	0.009213
0.502444	0.017671	0.015354
0.503421	0.024127	0.021495
0.504399	0.030633	0.027635
0.505376	0.037143	0.033774
0.506354	0.043606	0.039912
0.507331	0.049973	0.046048
0.508309	0.056203	0.052183
0.509286	0.062275	0.058315
0.510264	0.068196	0.064445
0.511241	0.074006	0.070573
0.512219	0.079773	0.076699
0.513196	0.085582	0.082821
0.514174	0.091513	0.088940
0.515152	0.097617	0.095056
0.516129	0.103894	0.101168
0.517107	0.110289	0.107277
0.518084	0.116703	0.113381
0.519062	0.123023	0.119481
0.520039	0.129166	0.125577
0.521017	0.135113	0.131668
0.521994	0.140924	0.137754
0.522972	0.146720	0.143835
0.523949	0.152628	0.149910
0.524927	0.158725	0.155979
0.525904	0.164995	0.162043
0.526882	0.171328	0.168101
0.527859	0.177576	0.174152
0.528837	0.183630	0.180197
0.529814	0.189483	0.186235
0.530792	0.195244	0.192266
0.531769	0.201074	0.198289
0.532747	0.207090	0.204306
0.533724	0.213288	0.210314
0.534702	0.219539	0.216315
0.535679	0.225670	0.222307
0.536657	0.231582	0.228291
0.537634	0.237325	0.234266
0.538612	0.243068	0.240233
0.539589	0.248973	0.246190
0.540567	0.255075	0.252139
0.541544	0.261249	0.258077
0.542522	0.267300	0.264006
0.543500	0.273126	0.269925
0.544477	0.278802	0.275834
0.545455	0.284522	0.281733
0.546432	0.290437	0.287620
0.547410	0.296515	0.293497
0.548387	0.302568	0.299363
0.549365	0.308419	0.305218
0.550342	0.314066	0.311061
0.551320	0.319693	0.316892
0.552297	0.325492	0.322711
0.553275	0.331475	0.328519
0.554252	0.337457	0.334313
0.555230	0.343241	0.340096
0.556207	0.348820	0.345865
0.557185	0.354388	0.351621
0.558162	0.360140	0.357364
0.559140	0.366056	0.363094
0.560117	0.371922	0.368810
0.561095	0.377562	0.374512
0.562072	0.383040	0.380200
0.563050	0.388590	0.385873
0.564027	0.394346	0.391532
0.565005	0.400183	0.397176
0.565982	0.405860	0.402805
0.566960	0.411311	0.408419
0.567937	0.416728	0.414018
0.568915	0.422326	0.419601
0.569892	0.428075	0.425168
0.570870	0.433730	0.430719
0.571848	0.439148	0.436254
0.572825	0.444472	0.441772
0.573803	0.449947	0.447274
0.574780	0.455597	0.452759
0.575758	0.461184	0.458227
0.576735	0.466535	0.463677
0.577713	0.471776	0.469110
0.578690	0.477163	0.474525
0.579668	0.482721	0.479923
0.580645	0.488207	0.485302
0.581623	0.493454	0.490663
0.582600	0.498616	0.496005
0.583578	0.503944	0.501329
0.584555	0.509415	0.506634
0.585533	0.514766	0.511920
0.586510	0.519883	0.517186
0.587488	0.524981	0.522433
0.588465	0.530273	0.527660
0.589443	0.535641	0.532868
0.590420	0.540816	0.538055
0.591398	0.545803	0.543222
0.592375	0.550873	0.548368
0.593353	0.556131	0.553494
0.594330	0.561343	0.558599
0.595308	0.566317	0.563682
0.596285	0.571217	0.568745
0.597263	0.576296	0.573786
0.598240	0.581469	0.578805
0.599218	0.586457	0.583803
0.600196	0.591259	0.588779
0.601173	0.596154	0.593732
0.602151	0.601223	0.598663
0.603128	0.606203	0.603571
0.604106	0.610949	0.608457
0.605083	0.615688	0.613319
0.606061	0.620620	0.618159
0.607038	0.625554	0.622975
0.608016	0.630256	0.627768
0.608993	0.634870	0.632537
0.609971	0.639659	0.637282
0.610948	0.644517	0.642003
0.611926	0.649167	0.646700
0.612903	0.653674	0.651372
0.613881	0.658328	0.656020
0.614858	0.663091	0.660644
0.615836	0.667671	0.665242
0.616813	0.672080	0.669815
0.617791	0.676611	0.674363
0.618768	0.681270	0.678885
0.619746	0.685763	0.683382
0.620723	0.690072	0.687853
0.621701	0.694494	0.692298
0.622678	0.699047	0.696717
0.623656	0.703433	0.701110
0.624633	0.707640	0.705476
0.625611	0.711965	0.709816
0.626588	0.716408	0.714129
0.627566	0.720673	0.718415
0.628543	0.724775	0.722674
0.629521	0.729013	0.726905
0.630499	0.733342	0.731109
0.631476	0.737470	0.735286
0.632454	0.741471	0.739435
0.633431	0.745629	0.743556
0.634409	0.749833	0.747649
0.635386	0.753812	0.751713
0.636364	0.757722	0.755750
0.637341	0.761806	0.759757
0.638319	0.765864	0.763737
0.639296	0.769691	0.767687
0.640274	0.773528	0.771608
0.641251	0.777528	0.775501
0.642229	0.781416	0.779364
0.643206	0.785103	0.783197
0.644184	0.788886	0.787001
0.645161	0.792777	0.790776
0.646139	0.796476	0.794520
0.647116	0.800054	0.798235
0.648094	0.803789	0.801919
0.649071	0.807528	0.805574
0.650049	0.811038	0.809197
0.651026	0.814549	0.812791
0.652004	0.818216	0.816353
0.652981	0.821756	0.819885
0.653959	0.825114	0.823386
0.654936	0.828592	0.826856
0.655914	0.832131	0.830295
0.656891	0.835452	0.833702
0.657869	0.838725	0.837078
0.658847	0.842159	0.840422
0.659824	0.845496	0.843735
0.660802	0.848639	0.847016
0.661779	0.851885	0.850265
0.662757	0.855200	0.853481
0.663734	0.858301	0.856666
0.664712	0.861355	0.859818
0.665689	0.864564	0.862938
0.666667	0.867663	0.866025
0.667644	0.870582	0.869080
0.668622	0.873620	0.872102
0.669599	0.876693	0.875091
0.670577	0.879545	0.878047
0.671554	0.882399	0.880969
0.672532	0.885386	0.883859
0.673509	0.888212	0.886715
0.674487	0.890912	0.889538
0.675464	0.893758	0.892327
0.676442	0.896557	0.895083
0.677419	0.899151	0.897805
0.678397	0.901829	0.900492
0.679374	0.904571	0.903146
0.680352	0.907100	0.905766
0.681329	0.909611	0.908352
0.682307	0.912254	0.910903
0.683284	0.914738	0.913421
0.684262	0.917105	0.915903
0.685239	0.919617	0.918351
0.686217	0.922054	0.920765
0.687195	0.924306	0.923143
0.688172	0.926668	0.925487
0.689150	0.929041	0.927796
0.690127	0.931202	0.930070
0.691105	0.933411	0.932309
0.692082	0.935700	0.934513
0.693060	0.937785	0.936681
0.694037	0.939848	0.938814
0.695015	0.942031	0.940912
0.695992	0.944047	0.942974
0.696970	0.945975	0.945001
0.697947	0.948039	0.946992
0.698925	0.949983	0.948947
0.699902	0.951788	0.950867
0.700880	0.953725	0.952750
0.701857	0.955590	0.954598
0.702835	0.957282	0.956409
0.703812	0.959089	0.958185
0.704790	0.960868	0.959924
0.705767	0.962454	0.961628
0.706745	0.964130	0.963295
0.707722	0.965815	0.964925
0.708700	0.967299	0.966519
0.709677	0.968847	0.968077
0.710655	0.970432	0.969598
0.711632	0.971814	0.971083
0.712610	0.973239	0.972531
0.713587	0.974719	0.973942
0.714565	0.975998	0.975317
0.715543	0.977302	0.976655
0.716520	0.978674	0.977956
0.717498	0.979848	0.979220
0.718475	0.981036	0.980447
0.719453	0.982297	0.981637
0.720430	0.983364	0.982790
0.721408	0.984438	0.983906
0.722385	0.985587	0.984985
0.723363	0.986543	0.986027
0.724340	0.987508	0.987031
0.725318	0.988543	0.987999
0.726295	0.989386	0.988929
0.727273	0.990244	0.989821
0.728250	0.991164	0.990677
0.729228	0.991891	0.991495
0.730205	0.992645	0.992276
0.731183	0.993448	0.993019
0.732160	0.994058	0.993724
0.733138	0.994711	0.994393
0.734115	0.995394	0.995023
0.735093	0.995886	0.995617
0.736070	0.996442	0.996172
0.737048	0.997000	0.996690
0.738025	0.997376	0.997171
0.739003	0.997836	0.997614
0.739980	0.998265	0.998019
0.740958	0.998529	0.998387
0.741935	0.998893	0.998717
0.742913	0.999189	0.999009
0.743891	0.999345	0.999263
0.744868	0.999611	0.999480
0.745846	0.999769	0.999659
0.746823	0.999826	0.999801
0.747801	0.999989	0.999905
0.748778	1.000007	0.999971
0.749756	0.999973	0.999999
0.750733	1.000024	0.999989
0.751711	0.999904	0.999942
0.752688	0.999786	0.999857
0.753666	0.999714	0.999735
0.754643	0.999463	0.999574
0.755621	0.999264	0.999376
0.756598	0.999057	0.999141
