x	 u	 u_exact
0.250244	0.000808	0.001535
0.251222	0.006664	0.007677
0.252199	0.012602	0.013819
0.253177	0.018606	0.019960
0.254154	0.024658	0.026100
0.255132	0.030743	0.032239
0.256109	0.036849	0.038378
0.257087	0.042968	0.044514
0.258065	0.049093	0.050649
0.259042	0.055221	0.056782
0.260020	0.061350	0.062913
0.260997	0.067478	0.069042
0.261975	0.073604	0.075168
0.262952	0.079727	0.081291
0.263930	0.085848	0.087411
0.264907	0.091966	0.093527
0.265885	0.098080	0.099641
0.266862	0.104190	0.105750
0.267840	0.110297	0.111855
0.268817	0.116399	0.117957
0.269795	0.122497	0.124053
0.270772	0.128590	0.130146
0.271750	0.134679	0.136233
0.272727	0.140762	0.142315
0.273705	0.146840	0.148392
0.274682	0.152913	0.154463
0.275660	0.158980	0.160528
0.276637	0.165040	0.166587
0.277615	0.171095	0.172640
0.278592	0.177143	0.178686
0.279570	0.183185	0.184726
0.280547	0.189219	0.190759
0.281525	0.195247	0.196784
0.282502	0.201267	0.202802
0.283480	0.207279	0.208813
0.284457	0.213284	0.214815
0.285435	0.219280	0.220810
0.286413	0.225268	0.226796
0.287390	0.231248	0.232773
0.288368	0.237219	0.238742
0.289345	0.243181	0.244702
0.290323	0.249134	0.250653
0.291300	0.255078	0.256594
0.292278	0.261012	0.262525
0.293255	0.266936	0.268447
0.294233	0.272850	0.274358
0.295210	0.278754	0.280259
0.296188	0.284647	0.286149
0.297165	0.290529	0.292029
0.298143	0.296401	0.297898
0.299120	0.302261	0.303755
0.300098	0.308110	0.309601
0.301075	0.313947	0.315435
0.302053	0.319773	0.321258
0.303030	0.325586	0.327068
0.304008	0.331387	0.332866
0.304985	0.337176	0.338651
0.305963	0.342952	0.344424
0.306940	0.348715	0.350183
0.307918	0.354465	0.355930
0.308895	0.360201	0.361663
0.309873	0.365924	0.367382
0.310850	0.371633	0.373088
0.311828	0.377328	0.378779
0.312805	0.383009	0.384456
0.313783	0.388675	0.390119
0.314761	0.394327	0.395766
0.315738	0.399963	0.401399
0.316716	0.405585	0.407017
0.317693	0.411192	0.412620
0.318671	0.416782	0.418206
0.319648	0.422358	0.423778
0.320626	0.427917	0.429333
0.321603	0.433460	0.434872
0.322581	0.438987	0.440394
0.323558	0.444497	0.445900
0.324536	0.449990	0.451389
0.325513	0.455467	0.456861
0.326491	0.460926	0.462316
0.327468	0.466368	0.467753
0.328446	0.471792	0.473173
0.329423	0.477199	0.478575
0.330401	0.482587	0.483959
0.331378	0.487957	0.489324
0.332356	0.493309	0.494672
0.333333	0.498643	0.500000
0.334311	0.503957	0.505310
0.335288	0.509253	0.510600
0.336266	0.514529	0.515871
0.337243	0.519786	0.521123
0.338221	0.525023	0.526355
0.339198	0.530240	0.531568
0.340176	0.535438	0.536760
